,Actor,Shows
0,Ah Young,"['The Best Chicken', 'TV Novel – Waves, Waves', 'Our Gap Soon', 'Love Frequency 37.2', 'The Night Watchman', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Jang Ok Jung', 'Advertising Genius Lee Tae Baek', 'Dream High']"
1,Ah Yun,['Tomorrow Cantabile']
2,Ahn Eun Jung,"['TV Novel – Land Of Gold', 'Glass Mask', 'Glory Jane', 'Definitely Neighbors', 'Queen of Housewives']"
3,Ahn Hae Sook,"['Rascal Sons', 'Childless Comfort', 'The Reputable Family', 'Empress Chun Chu', 'Landscape in My Heart', 'Hwang Jin Yi', 'The Secret Lovers', 'Breathless']"
4,Ahn Hye Kyung,"['Entourage', 'The Good Wife', 'The Great Wives', 'The Family Is Coming', 'Birth of a Beauty', 'SOS Save Me', 'Fantasy Tower', 'School 2013', 'Standby', 'To the Beautiful You', 'A Gentleman’s Dignity', 'Ojakgyo Brothers', 'A Good Day for the Wind to Blow', 'The Woman Who Still Wants To Marry', 'Invincible Lee Pyung Kang', 'I Really Really Like You']"
5,Ahn Ji Hyun,"['When Time Stops', 'Time', 'Goblin', 'Red Moon', 'Joseon Gunman', 'The Dirge Singer', 'The Full Sun', 'The Devil Rider', 'Secret', 'Adolescence Medley', 'School 2013', 'Daughters of Bilitis Club', 'While You Were Sleeping']"
6,Ahn Mi Na,"['Mother’s Garden', 'Take My Hand', 'Queen of Reversals', 'The Miracle of Love', 'Obstetrics and Gynecology Doctors', 'A Man’s Story', 'Glory of Youth', 'The Painter of the Wind', 'Golden Bride', 'The Invisible Man', 'My Name is Kim Sam-Soon']"
7,Ahn Moon Sook,"['I Hear Your Voice', 'Sign', 'The Queen Returns', 'Please Come Back, Soon-Ae']"
8,Ahn Nam Hee,"['Korean Peninsula', 'Sungkyunkwan Scandal', 'The Sons of Sol Pharmacy House', 'A Man’s Story']"
9,Ahn Seo Hyun,"['Haechi', 'Revenge Note 2', 'The Village: Achiara’s Secret', 'Bo Mi’s Room', 'TV Novel – Single Minded Dandelion', 'Golden Rainbow', 'Shark', 'Dummy Mommy', 'Heaven’s Garden', 'Baby-faced Beauty', 'Dream High Season 1', 'The Great Gye Choon Bin', 'Three Sisters', 'Soul', 'Can Anyone Love', 'Terroir', 'Love Marriage', '2014 KBS Drama Award']"
10,Ahn So Hee,"['Eulachacha Waikiki 2', 'Entourage', 'Heart to Heart', 'Happy! Rose Day', 'That Person Is Coming']"
11,Ahn Sol Bin,"['Good Witch', 'Meloholic', 'Reunited Worlds', 'Solomon’s Perjury']"
12,Ahn Sun Young,"['Madam Cha Dal Rae’s Love', 'Sweet Home, Sweet Honey', 'Pinocchio', 'Wonderful Days', 'A New Leaf', 'She is WOW', 'Color of Women', 'Dream High Season 1', 'I Live Without Anything', 'Obstetrics and Gynecology Doctors', 'The Tale of Janghwa and Hongryeon', '2009 Alien Baseball Team', 'Who Are You?', 'Kimcheed Radish Cubes', 'Get Karl! Oh Soo Jung', 'How to Meet a Perfect Neighbor', 'What’s Up Fox?', 'Mr Goodbye', 'Wolf', 'My Rosy Life', 'Save the Last Dance for Me', 'Orange']"
13,Ahn Yeo Jin,"['The Flower in Prison', 'Horse Doctor', 'Bridal Mask', 'The Musical', 'Dong Yi', 'Yi San', 'Someday', 'Ballad of Suh Dong']"
14,Ahn Yeon Hong,"['TV Novel – My Mind’s Flower Rain', 'Enchanting Neighbor', 'Can’t Take it Anymore', 'Salamander Guru and the Gang', 'The Duo', 'Fly High', 'Me Ri, Dae Gu’s Attack and Defense Battle', 'My Sister', 'Outrageous Women', 'One Fine Day', 'Sweet Spy', 'The Immortal Lee Soon-Shin', 'Romance']"
15,Ahn Young Joo,['New Tales of Gisaeng']
16,Ahn Young Mi,"['Mama Fairy and the Woodcutter', 'Eating Existence', 'The Family Is Coming', 'Dodohara', 'I Can Hear Your Voice', 'Reply 1997', '2016 tvN10 Award']"
17,Ailee,"['Dream High Season 2', 'Fated To Love Yo']"
18,Aleyna Yilmaz,['Save the Family']
19,Alice,"['The Eccentric Daughter-in-Law', 'The Night Watchman', 'Cunning Single Lady']"
20,Amber,"['f(x', 'Entourage']"
21,Bae Da Bin,"['Bad Detective', 'My ID Is Gangnam Beauty', 'Should We Kiss First']"
22,Bae Doo Na,"['Kingdom', 'Matrimonial Chaos', 'Secret Forest', 'Sense8', 'Gloria', 'God of Study', 'How to Meet a Perfect Neighbor', 'Someday', 'Beating Heart', 'Rosemary', 'Country Princess', '2018 KBS Drama Award']"
23,Bae Geu Rin,"['The Flower in Prison', 'Take My Hand', 'Lee Soon Shin is the Best', 'Twelve Men in a Year', '49 Days', 'Smile, Mom', 'Once Upon a Time in Saengchori', 'You’re Beautiful', 'Friend, Our Legend', 'The Lawyers of The Great Republic Korea', 'Sharp 3']"
24,Bae Hae Sun,"['Praise of Death', 'A Promise with the Gods', 'Come and Hug Me', 'Wok of Love', 'Exit', 'Nothing to Lose', 'While You Were Sleeping', 'Man Who Dies to Live', 'Jealousy Incarnate', 'The Good Wife', 'Yong Pal']"
25,Bae Jung Ah,[]
26,Bae Jung Hwa,"['Haechi', 'Priest', 'Black', 'My Man’s Secret', 'Voice', 'Time of Miracle: Loss Time']"
27,Bae Jung Ok ,"['Live', 'Nameless Woman', 'Monster', 'Bubblegum', 'Spy', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Wonderful Mama', 'That Winter, The Wind Blows', 'Hooray for Love', 'Pure Pumpkin Flower', 'Kim Soo Ro', 'The World That They Live In', 'On Air', 'Woman of Matchless Beauty, Park Jung Kum', 'My Man’s Woman', 'Goodbye Solo', 'Beating Heart', '2011 MBC Drama Award']"
28,Bae Min Hee,"['Switch: Change the World', 'Endless Love', 'The Great Seer', 'Ghost', 'Don’t Hesitate', 'The Man Who Can’t Get Married', 'Don’t Ask Me About the Past', 'Land']"
29,Bae Min Jung,"['The Player', 'Two Cops', 'She Was Pretty', 'Prince Of Prince', 'Tomorrow Cantabile']"
