,Unnamed: 0,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
0,0,The Filthy Frank Show,"['short', 'comedy', 'fantasy']",Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.,20112017,9.0,,7.0,4 min,"Ian Carter, Nick Colletti, Joji, Ethan Klein"
1,1,Game of Thrones,"['action', 'adventure', 'drama']","Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",2011,9.5,,1443743.0,57 min,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
2,2,Breaking Bad,"['crime', 'drama', 'thriller']",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,20082013,9.5,,1176517.0,49 min,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
3,3,Rick and Morty,"['animation', 'adventure', 'comedy']",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013,9.3,,260724.0,23 min,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
4,4,Cosmos,['documentary'],Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,2014,9.3,,94327.0,557 min,"Neil deGrasse Tyson, Stoney Emshwiller, Piotr Michael, André Sogliuzzo"
5,5,The Wire,"['crime', 'drama', 'thriller']","Baltimore drug scene, seen through the eyes of drug dealers and law enforcement.",20022008,9.3,,241760.0,59 min,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"
6,6,Sherlock,"['crime', 'drama', 'mystery']",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,2009,7.6,,545409.0,128 min,"Guy Ritchie, Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong"
7,7,Avatar: The Last Airbender,"['animation', 'action', 'adventure']","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",20032008,9.2,,186382.0,23 min,"Dee Bradley Baker, Zach Tyler, Jack De Sena, Mae Whitman"
8,8,The Sopranos,"['crime', 'drama']","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",19992007,9.2,,248231.0,55 min,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli"
9,9,Last Week Tonight with John Oliver,"['comedy', 'news', 'talk-show']",Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.,2014,9.0,,66095.0,30 min,"John Oliver, David Kaye, Ryan Barger, Noel MacNeal"
10,10,Fargo,"['crime', 'drama', 'thriller']","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",2014,9.0,,267840.0,53 min,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
11,11,True Detective,"['crime', 'drama', 'mystery']","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",2014,9.0,,434637.0,55 min,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"
12,12,Firefly,"['adventure', 'drama', 'sci-fi']","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",20022003,9.0,,223902.0,44 min,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
13,13,The Twilight Zone,"['fantasy', 'horror', 'mystery']","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",2019,6.5,,3193.0,60 min,"Jordan Peele, Shalyn Ferdinand, Ian Hawes, Khamisa Wilsher"
14,14,Cobra Kai,"['action', 'comedy', 'drama']","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",2018,8.9,,28444.0,30 min,"Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña"
15,15,Sacred Games,"['action', 'crime', 'drama']","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",,,,,,
16,16,Stranger Things,"['drama', 'fantasy', 'horror']","When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.",2016,8.9,,576281.0,51 min,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
17,17,Gravity Falls,"['animation', 'adventure', 'comedy']",Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls.,20122016,8.9,,51185.0,23 min,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini"
18,18,Friends,"['comedy', 'romance']",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,19942004,8.9,,660471.0,22 min,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
19,19,Batman: The Animated Series,"['animation', 'action', 'adventure']",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,19921995,8.9,,73472.0,23 min,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings"
20,20,Seinfeld,['comedy'],The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,19891998,8.9,,221800.0,22 min,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
21,21,"Love, Death & Robots","['animation', 'comedy', 'fantasy']","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",2019,8.8,,42857.0,15 min,"Scott Whyte, Nolan North, Matthew Yang King, Michael Benyaer"
22,22,Narcos,"['biography', 'crime', 'drama']","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",2018,8.5,,29870.0,50 min,"Diego Luna, Scoot McNairy, Michael Peña, Alyssa Diaz"
23,23,House of Cards,['drama'],A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,20132018,8.8,,426442.0,51 min,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara"
24,24,Westworld,"['drama', 'mystery', 'sci-fi']","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",2016,8.8,,334987.0,62 min,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton"
25,25,The Office,['comedy'],"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",20052013,8.8,,289987.0,22 min,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson"
26,26,Rome,"['action', 'drama', 'history']",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,2010,5.6,,57152.0,91 min,"Mark Steven Johnson, Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito"
27,27,Arrested Development,['comedy'],"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",2003,8.8,,253608.0,22 min,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett"
28,28,Freaks and Geeks,"['comedy', 'drama']",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,19992000,8.8,,117539.0,44 min,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine"
29,29,Twin Peaks,"['crime', 'drama', 'fantasy']",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,19901991,8.8,,152317.0,47 min,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"
30,30,The Haunting of Hill House,"['drama', 'horror', 'mystery']","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",2018,8.7,,109146.0,50 min,"Michiel Huisman, Carla Gugino, Henry Thomas, Elizabeth Reaser"
31,31,The Marvelous Mrs. Maisel,"['comedy', 'drama']",A housewife in the 1950s decides to become a stand-up comic.,2017,8.7,,41794.0,57 min,"Rachel Brosnahan, Alex Borstein, Tony Shalhoub, Michael Zegen"
