,0
Ah Young,"['The Best Chicken', 'TV Novel – Waves, Waves', 'Our Gap Soon', 'Love Frequency 37.2', 'The Night Watchman', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Jang Ok Jung', 'Advertising Genius Lee Tae Baek', 'Dream High']"
Ah Yun,['Tomorrow Cantabile']
Ahn Eun Jung,"['TV Novel – Land Of Gold', 'Glass Mask', 'Glory Jane', 'Definitely Neighbors', 'Queen of Housewives']"
Ahn Hae Sook,"['Rascal Sons', 'Childless Comfort', 'The Reputable Family', 'Empress Chun Chu', 'Landscape in My Heart', 'Hwang Jin Yi', 'The Secret Lovers', 'Breathless']"
Ahn Hye Kyung,"['Entourage', 'The Good Wife', 'The Great Wives', 'The Family Is Coming', 'Birth of a Beauty', 'SOS Save Me', 'Fantasy Tower', 'School 2013', 'Standby', 'To the Beautiful You', 'A Gentleman’s Dignity', 'Ojakgyo Brothers', 'A Good Day for the Wind to Blow', 'The Woman Who Still Wants To Marry', 'Invincible Lee Pyung Kang', 'I Really Really Like You']"
Ahn Ji Hyun,"['When Time Stops', 'Time', 'Goblin', 'Red Moon', 'Joseon Gunman', 'The Dirge Singer', 'The Full Sun', 'The Devil Rider', 'Secret', 'Adolescence Medley', 'School 2013', 'Daughters of Bilitis Club', 'While You Were Sleeping']"
Ahn Mi Na,"['Mother’s Garden', 'Take My Hand', 'Queen of Reversals', 'The Miracle of Love', 'Obstetrics and Gynecology Doctors', 'A Man’s Story', 'Glory of Youth', 'The Painter of the Wind', 'Golden Bride', 'The Invisible Man', 'My Name is Kim Sam-Soon']"
Ahn Moon Sook,"['I Hear Your Voice', 'Sign', 'The Queen Returns', 'Please Come Back, Soon-Ae']"
Ahn Nam Hee,"['Korean Peninsula', 'Sungkyunkwan Scandal', 'The Sons of Sol Pharmacy House', 'A Man’s Story']"
Ahn Seo Hyun,"['Haechi', 'Revenge Note 2', 'The Village: Achiara’s Secret', 'Bo Mi’s Room', 'TV Novel – Single Minded Dandelion', 'Golden Rainbow', 'Shark', 'Dummy Mommy', 'Heaven’s Garden', 'Baby-faced Beauty', 'Dream High Season 1', 'The Great Gye Choon Bin', 'Three Sisters', 'Soul', 'Can Anyone Love', 'Terroir', 'Love Marriage', '2014 KBS Drama Award']"
Ahn So Hee,"['Eulachacha Waikiki 2', 'Entourage', 'Heart to Heart', 'Happy! Rose Day', 'That Person Is Coming']"
Ahn Sol Bin,"['Good Witch', 'Meloholic', 'Reunited Worlds', 'Solomon’s Perjury']"
Ahn Sun Young,"['Madam Cha Dal Rae’s Love', 'Sweet Home, Sweet Honey', 'Pinocchio', 'Wonderful Days', 'A New Leaf', 'She is WOW', 'Color of Women', 'Dream High Season 1', 'I Live Without Anything', 'Obstetrics and Gynecology Doctors', 'The Tale of Janghwa and Hongryeon', '2009 Alien Baseball Team', 'Who Are You?', 'Kimcheed Radish Cubes', 'Get Karl! Oh Soo Jung', 'How to Meet a Perfect Neighbor', 'What’s Up Fox?', 'Mr Goodbye', 'Wolf', 'My Rosy Life', 'Save the Last Dance for Me', 'Orange']"
Ahn Yeo Jin,"['The Flower in Prison', 'Horse Doctor', 'Bridal Mask', 'The Musical', 'Dong Yi', 'Yi San', 'Someday', 'Ballad of Suh Dong']"
Ahn Yeon Hong,"['TV Novel – My Mind’s Flower Rain', 'Enchanting Neighbor', 'Can’t Take it Anymore', 'Salamander Guru and the Gang', 'The Duo', 'Fly High', 'Me Ri, Dae Gu’s Attack and Defense Battle', 'My Sister', 'Outrageous Women', 'One Fine Day', 'Sweet Spy', 'The Immortal Lee Soon-Shin', 'Romance']"
Ahn Young Joo,['New Tales of Gisaeng']
Ahn Young Mi,"['Mama Fairy and the Woodcutter', 'Eating Existence', 'The Family Is Coming', 'Dodohara', 'I Can Hear Your Voice', 'Reply 1997', '2016 tvN10 Award']"
Ailee,"['Dream High Season 2', 'Fated To Love Yo']"
Aleyna Yilmaz,['Save the Family']
Alice,"['The Eccentric Daughter-in-Law', 'The Night Watchman', 'Cunning Single Lady']"
Amber,"['f(x', 'Entourage']"
Bae Da Bin,"['Bad Detective', 'My ID Is Gangnam Beauty', 'Should We Kiss First']"
Bae Doo Na,"['Kingdom', 'Matrimonial Chaos', 'Secret Forest', 'Sense8', 'Gloria', 'God of Study', 'How to Meet a Perfect Neighbor', 'Someday', 'Beating Heart', 'Rosemary', 'Country Princess', '2018 KBS Drama Award']"
Bae Geu Rin,"['The Flower in Prison', 'Take My Hand', 'Lee Soon Shin is the Best', 'Twelve Men in a Year', '49 Days', 'Smile, Mom', 'Once Upon a Time in Saengchori', 'You’re Beautiful', 'Friend, Our Legend', 'The Lawyers of The Great Republic Korea', 'Sharp 3']"
Bae Hae Sun,"['Praise of Death', 'A Promise with the Gods', 'Come and Hug Me', 'Wok of Love', 'Exit', 'Nothing to Lose', 'While You Were Sleeping', 'Man Who Dies to Live', 'Jealousy Incarnate', 'The Good Wife', 'Yong Pal']"
Bae Jung Ah,[]
Bae Jung Hwa,"['Haechi', 'Priest', 'Black', 'My Man’s Secret', 'Voice', 'Time of Miracle: Loss Time']"
Bae Jung Ok ,"['Live', 'Nameless Woman', 'Monster', 'Bubblegum', 'Spy', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Wonderful Mama', 'That Winter, The Wind Blows', 'Hooray for Love', 'Pure Pumpkin Flower', 'Kim Soo Ro', 'The World That They Live In', 'On Air', 'Woman of Matchless Beauty, Park Jung Kum', 'My Man’s Woman', 'Goodbye Solo', 'Beating Heart', '2011 MBC Drama Award']"
Bae Min Hee,"['Switch: Change the World', 'Endless Love', 'The Great Seer', 'Ghost', 'Don’t Hesitate', 'The Man Who Can’t Get Married', 'Don’t Ask Me About the Past', 'Land']"
Bae Min Jung,"['The Player', 'Two Cops', 'She Was Pretty', 'Prince Of Prince', 'Tomorrow Cantabile']"
Bae Noo Ri,"['Mysterious Personal Shopper', 'Bride of the Water God', 'Woman with a Suitcase', 'Dramaworld', 'Cheers to Me', 'The Superman Age', 'Swedish Laundry', 'Inspiring Generation', 'Adolescence Medley', 'Beloved', 'The Moon That Embraces the Sun', 'My Daughter the Flower', 'Killer K', 'Dream High Season 1', 'Ang Shim Jung']"
Bae Seul Gi,"['Risky Romance', 'The Shining Eun Soo', 'The Flatterer', 'Cheo Yong 2', 'Golden Tower', 'Unemployed Romance', 'The Equator Man', 'Late Night Hospital', 'The Greatest Love', 'Sea God', 'Full House']"
Bae Suzy,"['Miss ', 'While You Were Sleeping', 'Uncontrollably Fond', 'You Who Came From the Stars', 'KangChi, The Beginning', 'Big', 'I Need a Fairy', 'Human Casino', 'Dream High Season 2', 'Dream High Season 1', '2017 SBS Drama Award', '2017 SBS Drama Award', '52nd Paeksang Arts Award', '2013 MBC Drama Award', '2013 MBC Drama Award', '2012 KBS Drama Award', '2011 KBS Drama Award', '2011 KBS Drama Award']"
Bae Woo Hee,"['Home for Summer', 'The Time We Were Not In Love', 'The Lover', 'Persevere, Goo Hae Ra', 'Reply 1994']"
Bae Yoon Kyung,"['Doctor Prisoner', 'Bad Detective', 'The Sound of Your Heart: Reboot 1', 'Joseon Beauty Pageant']"
Baek Bo Ram,"['Blessing of the Sea', 'Woman of Dignity', 'My Wife’s Having an Affair this Week', 'Here Comes Love', 'Melody of Love', 'A Hundred Year’s Inheritance', 'Dummy Mommy', 'Pink Lipstick']"
Baek Eun Hye,"['Mung Bean Flower', 'The Long Good-bye', 'What’s Wrong With Secretary Kim']"
Baek Eun Kyung,"['Andantae', 'Girls’ Generation 1979']"
Baek Hyun Joo,"['The Secret Life of My Secretary', 'Let’s Eat 3', 'Awl']"
Baek Hyun Sook,"['Bad Guy', 'Yi San', 'Jumong', 'Into The Storm', 'Dae Jang Geum', 'All In']"
Baek Ji Won,"['The Fiery Priest', 'Encounter', 'About Time', 'Handsome Guy and Jung Eum', 'Mad Dog', 'My Golden Life', 'Reunited Worlds', 'Fight for My Way', 'Defendant', 'Beautiful Mind', 'I Have a Lover', 'Heard It Through the Grapevine', 'The Family Is Coming', 'Secret Love Affair']"
Baek Jin Hee,"['Feel Good To Die', 'Let’s Eat 3', 'Jugglers', 'Missing Nine', 'My Daughter, Geum Sa Wol', 'Pride and Prejudice', 'Triangle', 'Empress Ki', 'I Summon You, Gold!', 'Jeon Woo Chi', 'High Kick 3: The Revenge of the Short Legged', 'Hair Show', 'Secret Garden', 'Loving You a Thousand Times', '2018 KBS Drama Award', '2018 KBS Drama Award', '2015 MBC Drama Award', '2014 MBC Drama Award', '2013 MBC Drama Award']"
Baek Joo Hee,['Lawless Lawyer']
Baek Ok Dam,"['The Eccentric Daughter-in-Law', 'Apgujeong Midnight Sun', 'Princess Aurora', 'Syndrome', 'New Tales of Gisaeng', 'Queen of Ahyun']"
Baek Sang Hee,"['When Time Stops', 'Mr. Sunshine', 'Man Who Sets the Table', 'Revolutionary Love', 'Manhole']"
Baek Seo Yi,"['My Golden Life', 'Golden Pouch', 'Let’s Fight Ghost']"
Baek Seung Hee,"['Sunny Again Tomorrow', 'A Korean Odyssey', 'Bird That Doesn’t Cry', 'TV Novel – Land Of Gold', 'May Queen', 'I Do, I Do', 'Me Too, Flower!', 'Crime Squad', 'Secret Garden', 'High Kick Through The Roof', 'Queen of Housewives', 'I Hate You, But It’s Fine']"
Baek So Mi,"['Kim Soo Ro', 'Here Comes Ajumma', 'Sea God']"
Baek Song Yi,['The King Loves']
Baek Soo Ryun,"['It’s My Life', 'Children of a Lesser God', 'Bad Families', 'Hospital Ship', 'Man to Man', 'The Liar and His Lover', 'Strong Woman Do Bong Soon', 'The Shining Eun Soo', 'Marriage Contract', 'TV Novel – The Stars Are Shining', 'Hwajung', 'Pride and Prejudice', 'Our Joyful Young Days']"
Ban Hyo Jung,"['My Healing Love', 'TV Novel – Waves, Waves', 'Hate To Love You', 'Bravo My Life', 'TV Novel – Sea of the Woman', 'Saimdang, Light’s Diary', 'Blow Breeze', 'Strange Family', 'Memory', 'Oh My Venus', 'Beautiful You', 'Mom', 'Second Time Twenty Years Old', 'Last', 'Save the Family', 'Rosy Lovers', 'Cheongdamdong Scandal', 'Ugly Alert', 'Melody of Love', 'Goddess of Marriage', 'TV Novel – Eun Hee', 'I Summon You, Gold!', 'TV Novel – Sam Saeng', 'I’ll Give You The Stars and The Moon', 'Rooftop Prince', 'Brain', 'A Thousand Kisses', 'The Women of Our Home', 'Romance Town', 'Pure Pumpkin Flower', 'Definitely Neighbors', 'Creating Destiny', 'Shining Inheritance', 'The Road Home', 'Empress Chun Chu', 'Star’s Lover', 'Hometown over the Hill', 'That Woman is Scary', 'By Land and Sky', 'As the River Flows', 'My Sweetheart My Darling', 'Dear Heaven', 'Second Proposal', 'Terms of Endearment', 'One Million Roses']"
Ban Min Jung,"['Hwarang: The Beginning', 'TV Novel – That Sun in the Sky', 'Late Night Restaurant', 'Mother’s Choice', 'Golden Cross', 'Good Doctor', 'The Great Seer', 'Bridal Mask', 'You Who Rolled In Unexpectedly', 'The Beeper', 'Sweet Palpitations', 'Obstetrics and Gynecology Doctors', 'Dong Yi', 'Hometown Legends', 'Cain and Abel', 'Temptation of Wife', 'Family’s Honor', 'Life Special Investigation Team', 'On Air', 'Golden Era of Daughter in Law', 'Chosun Police', 'Yeon Gae Somun']"
Ban So Young,"['Happy Sisters', 'The Princess’ Man', 'Hometown Legends', 'Don’t Be Swayed', 'I’m Sam', 'Kid Gang']"
Bang Eun Hee,"['Gangnam Scandal', 'My Husband Oh Jak Doo', 'Reunited Worlds', 'Nameless Woman', 'Missing Nine', 'You Are a Gift', 'Beautiful Gong Shim', 'Blue Bird’s House', 'High Society', 'The Girl Who Can See Smells', 'Tomorrow Cantabile', 'Pluto Secret Society', 'A Witch’s Love', 'My Dad is a Nude Model', 'The Suspicious Housekeeper', 'Can’t Take it Anymore', 'Advertising Genius Lee Tae Baek', 'Childless Comfort', 'Time Slip Dr. Jin', 'Bride of the Sun', 'All My Love', 'Life is Beautiful', 'God of Study', 'Loving You a Thousand Times', 'Hometown Legends', 'Tempted Again', 'A Man’s Story', 'Returned Earthen Bowl', 'Life Special Investigation Team', 'Bad Love', 'Winter Bird', 'Legend of Hyang Dan', 'Mun Hee', 'The Vineyard Man', 'Golden Apple', 'Next', 'Precious Family', 'More Beautiful Than a Flower']"
Bang Joon Seo,"['Sungkyunkwan Scandal', 'Oh! My Lady', 'Obstetrics and Gynecology Doctors', 'Heading to the Ground', 'Queen of Housewives', 'You Are Very Good', 'Kimcheed Radish Cubes', 'My Love']"
Bang Soo Jin,"['A Korean Odyssey', 'Girls’ Generation 1979', 'Individualist Ms. Ji Young', 'Angel’s Revenge']"
BoA,"['My Wife’s Having an Affair this Week', 'Looking Forward to Romance', 'Athena: Goddess of War', '2013 KBS Drama Award', '2013 Korea Drama Festival Award 201']"
Bona,"['Your House Helper', 'Radio Romance', 'Girls’ Generation 1979', 'The Best Hit']"
Bonnie Kim,['More Charming by the Day']
Byun Jung Soo,"['Unni is Alive', 'Best Couple', 'I Have a Lover', 'The Legendary Witch', 'Ruby’s Ring', 'The Queen’s Classroom', 'Their Perfect Day', 'Manny', 'Please Marry Me', 'Pasta', 'Style', 'Last Scandal', 'Bad Couple', 'What’s Up Fox?', 'Three Wives', 'The Woman Who Wants to Marry', 'First Love', 'The Bean Chaff of My Life', 'Shoot for the Star']"
Byun Seung Mi,"['The Queen’s Classroom', 'What is Mom']"
Cao Lu,['Missing Nine']
Cha Chung Hwa,"['Black Knight', 'Black', 'Shopping King Louie']"
