,Unnamed: 0.1,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
0,0,the filthy frank show,short comedi fantasi,filthi frank and hi diseas ridden friend talk about variou topic and take part in multipl lifethreaten shenanigansfilthi frank and hi diseas ridden friend talk about variou topic and take part in multipl lifethreaten shenanigan there wa onc a time where univers had galaxi now the omnivers ha univers where time and genet have becom currenc and a sourc of power and onli the strongest deiti can hope to surviv the vast empti and as time and space progress expand we have no choic but to stick togeth one of few remain human attempt to surviv the danger of the omnivers and it ruler chin chin with hi lycrainfest alli,"2011, 2017",9.0,,7.0,4,"Ian Carter, Nick Colletti, Joji, Ethan Klein"
1,1,game of thrones,action adventur drama,nine nobl famili fight for control over the mythic land of westero while an ancient enemi return after be dormant for thousand of yearsnin nobl famili fight for control over the mythic land of westero while an ancient enemi return after be dormant for thousand of year in the mythic contin of westero sever power famili fight for control of the seven kingdom as conflict erupt in the kingdom of men an ancient enemi rise onc again to threaten them all meanwhil the last heir of a recent usurp dynasti plot to take back their homeland from across the narrow sea year after a rebellion spur by a stolen bride to be and the blind ambit of a mad king robert of the hous baratheon sit on the much desir iron throne in the mythic land of westero nine nobl famili fight for everi inch of control and everi drop of power the king hand jon arryn is dead and robert seek out hi onli other alli in all of westero hi childhood friend eddard stark the solemn and honor warden of the north is task to depart hi frozen sanctuari and join the king in the capit of king land to help the now overweight and drunk robert rule howev a letter in the dead of night inform ned that the former hand wa murder and that robert will be next so nobl ned goe against hi better desir in an attempt to save hi friend and the kingdom but polit intrigu plot murder and sexual desir lead to a secret that could tear the seven kingdom apart and soon eddard will find out what happen when you play the game of throne base on the bestsel book seri a song of ice and fire by georg rr martin thi sprawl new hbo drama is set in a world where summer span decad and winter can last a lifetim from the scheme south and the savag eastern land to the frozen north and ancient wall that protect the realm from the mysteri dark beyond the power famili of the seven kingdom are lock in a battl for the iron throne thi is a stori of duplic and treacheri nobil and honor conquest and triumph in the game of throne you either win or you die nine nobl famili fight for control of the mythic land of westero polit and sexual intrigu is pervas robert baratheon king of westero ask hi old friend eddard lord stark to serv as hand of the king or highest offici secretli warn that the previou hand wa assassin eddard accept in order of busi to investig further meanwhil the queen famili the lannist may be hatch a plot to take power across the sea the last member of the previou and depos rule famili the targaryen are also scheme to regain the throne the friction between the hous stark lannist baratheon and targaryen and with the remain great hous greyjoy tulli arryn tyrel and martel lead to fullscal war all while a veri ancient evil awaken in the farthest north amidst the war and polit confus a neglect militari order of misfit the night watch is all that stand between the realm of men and ici horror beyond,2011,9.5,,1443743.0,57,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
2,2,breaking bad,crime drama thriller,a high school chemistri teacher diagnos with inoper lung cancer turn to manufactur and sell methamphetamin in order to secur hi famili futurea high school chemistri teacher diagnos with inoper lung cancer turn to manufactur and sell methamphetamin in order to secur hi famili futur when chemistri teacher walter white is diagnos with stage iii cancer and given onli two year to live he decid he ha noth to lose he live with hi teenag son who ha cerebr palsi and hi wife in new mexico determin to ensur that hi famili will have a secur futur walt embark on a career of drug and crime he prove to be remark profici in thi new world as he begin manufactur and sell methamphetamin with one of hi former student the seri track the impact of a fatal diagnosi on a regular hard work man and explor how a fatal diagnosi affect hi moral and transform him into a major player of the drug trade walter h white is a chemistri geniu but work as a chemistri teacher in an albequerqu new mexico high school hi life drastic chang when he diagnos with stage iii termin lung cancer and given a short amount of time left to live a mere matter of month to ensur hi handicap son and hi pregnant wife have a financi futur walt use hi chemistri background to creat and sell the world finest crystal methamphetamin to sell hi signatur blue meth he team up with jess pinkman a former student of hi the meth make them veri rich veri quickli but it attract the attent of hi dea brother in law hank as walt and jess statu in the drug world escal walt becom a danger crimin and jess becom a hothead salesman hank is alway hot on hi tail and it forc walt to come up with new way to cover hi track a onc loyal father and chemistri teacher walter white turn to a life of crime due to develop stage termin lung cancer he is told he ha two year to live team up with one of hi high school student jess pinkman he grow in power battl anyon in hi way and rais a famili all whilst hide from hi brotherinlaw who work for the dea the mishap of two drug dealer tri to surviv in the complic and corrupt world of crime lead them from the point of work for money to work to surviv all start with an honest high school teacher tri to make money for hi famili after find out cancer hadnt left him much time while the men are forc to continu the busi they slowli start to figur a way to leav the job as soon as possibl and at ani cost break bad follow protagonist walter white a chemistri teacher who live in new mexico with hi wife and teenag son who ha cerebr palsi white is diagnos with stage iii cancer and given a prognosi of two year left to live with a new sens of fearless base on hi medic prognosi and a desir to secur hi famili financi secur white choos to enter a danger world of drug and crime and ascend to power in thi world the seri explor how a fatal diagnosi such as white releas a typic man from the daili concern and constraint of normal societi and follow hi transform from mild famili man to a kingpin of the drug trade,"2008, 2013",9.5,,1176517.0,49,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
3,3,rick and morty,anim adventur comedi,an anim seri that follow the exploit of a super scientist and hi notsobright grandsonan anim seri that follow the exploit of a super scientist and hi notsobright grandson an anim seri on adultswim about the infinit adventur of rick a geniu alcohol and careless scientist with hi grandson morti a yearold anxiou boy who is not so smart togeth they explor the infinit univers caus mayhem and run into troubl an anim show center around a crazi yet geniu oldman and hi grandson which he take on hi ridicul interdimension space travel a drunk old man and hi innoc grandson travel through time and space as they observ and disturb all race speci and sex rick an alcohol mad scientist stumbl into hi grandson morti room beg for help on an intergalact adventur morti reluctantli agre and find himself on a never end quest across time dimens and space morti must keep rick in check as he caus havoc everywher they go travel across the multivers togeth super geniu rick sanchez and hi grandson morti smith embark on wacki adventur where onli one thing is absolut rick is the smartest madman in all the multivers and noth can chang that portal gun and all rick sanchez a depress alcohol abus madman who also happen to be a geniu scientist with the abil to travel through dimens return to hi daughter beth life after two decad of be silent between the two he find her marri to an incompet pathet man name jerri and the coupl ha two teenag kid summer the oldest girl is a rebelli teen look to have more friend at school and morti the youngest child and a boy is an anxiou quiet and sweet kid rick make morti hi sidekick and take him on hilari interdimension adventur caus poor morti to becom steadili more miser due to rick insan abus and careless additud,2013,9.3,,260724.0,23,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
4,4,cosmos,documentari,astronom carl sagan lead us on an engag guid tour of the variou element and cosmolog theori of the universean explor of our discoveri of the law of natur and coordin in space and time join the heroic quest for knowledg as we set cours for the star with the twentyfirst centuri reboot of cosmo host by worldrenown astrophysicist neil degrass tyson thi thirteenpart groundbreak seri will ventur to new world trace our root back to the heart of ancient star and travel across the univers for a vision of the cosmo on the grandest scale,2014,9.3,,94327.0,557,"Neil deGrasse Tyson, Stoney Emshwiller, Piotr Michael, André Sogliuzzo"
5,5,the wire,crime drama thriller,baltimor drug scene seen through the eye of drug dealer and law enforcementbaltimor drug scene seen through the eye of drug dealer and law enforc set in baltimor thi show center around the citi innerc drug scene it start as midlevel drug dealer dangelo barksdal beat a murder rap after a convers with a judg det jame mcnulti ha been assign to lead a joint homicid and narcot team in order to bring down drug kingpin avon barksdal avon barksdal accompani by hi righthand man stringer bell enforc weebey and mani lieuten includ hi own nephew dangelo barksdal ha to deal with law enforc inform in hi own camp and competit with a local rival omar who been rob barksdal dealer and resel the drug the supervisor of the investig lt cedric daniel ha to deal with hi own problem such as a corrupt bureaucraci some of hi detect beat suspect hardhead but determin det mcnulti and a blackmail deputi the show depict the live of everi part of the drug food chain from junki to dealer and from cop to politician the street of baltimor as a microcosm of the uss war on drug and of us urban decay in gener seen not onli through the eye of a few policemen and drug gang member but also the peopl who influenc and inhabit their world politician the media drug addict and everyday citizen,"2002, 2008",9.3,,241760.0,59,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"
6,6,sherlock,crime drama mysteri,a modern updat find the famou sleuth and hi doctor partner solv crime in st centuri londondetect sherlock holm and hi stalwart partner watson engag in a battl of wit and brawn with a nemesi whose plot is a threat to all of england after final catch serial killer and occult sorcer lord blackwood legendari sleuth sherlock holm and hi assist dr watson can close yet anoth success case but when blackwood mysteri return from the grave and resum hi kill spree holm must take up the hunt onc again contend with hi partner new fianc e and the dimwit head of scotland yard the dauntless detect must unravel the clue that will lead him into a twist web of murder deceit and black magic and the deadli embrac of temptress iren adler in london sherlock holm and hi partner dr john watson captur the follow of black magic and serial killer lord blackwood that ha alreadi kill five women when he is near to kill hi sixth victim blackwood is sentenc to be strung up and dr watson attest hi death howev blackwood mysteri return from the afterlif and inspector lestrad summon sherlock holm to help the scotland yard in the investig meanwhil dr watson intend to get marri of the gorgeou mari morstan while sherlock is visit by hi former lover iren adler that ha a secret agenda with the arrest of lord blackwood sherlock holm and dr john watson believ they have stop one of london most danger killer respons for five death and about to commit a sixth when he is apprehend sever month later he is hang for hi crime but rumor begin to circul that he is in fact still aliv have use manag and the black art to escap societi judgment when they disint hi remain they find the bodi of anoth man in the coffin soon all of london is atwitt with the news that blackwood ha risen from the dead and for some he is the devil incarn with the assist of the veri capabl iren adler holm and watson must stop blackwood befor he can initi hi master plan the takeov of the british govern and eventu world domin,2009,7.6,,545409.0,128,"Guy Ritchie, Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong"
7,7,avatar: the last airbender,anim action adventur,in a wartorn world of element magic a young boy reawaken to undertak a danger mystic quest to fulfil hi destini as the avatar and bring peac to the worldin a wartorn world of element magic a young boy reawaken to undertak a danger mystic quest to fulfil hi destini as the avatar and bring peac to the world the world is divid into four element nation the northern and southern water tribe the earth kingdom the fire nation and the air nomad the avatar uphold the balanc between the nation but everyth chang when the fire nation invad onli the avatar master of all four element can stop them but when the world need him most he vanish a hundr year later katara and sokka discov the new avatar an airbend name aang togeth they must help aang master the element and save the world water earth fire air long ago the four nation live togeth in harmoni but then everyth chang when the fire nation attack onli the avatar master of all four element could stop them but when the world need him most he vanish a hundr year pass and my brother and i discov the new avatar an airbend name aang and although hi airbend skill are great he still ha a lot to learn befor he readi to save anyon but i believ aang can save the world in a world where human can bend the four element water earth fire and air the ruthless fire nation ha engag the rest of the world in a war that ha last one hundr year the world onli hope is the avatar the onli one who can master all four element when the avatar return one hundr year later a young airbend name aang it up to him to defeat the fire nation and bring balanc to the world when the hostil fire nation threaten to enslav the water earth and air nation a reluct and irrespons boy must face hi destini as the avatar the chosen one who can restor the world order thi new anim seri center on twelveyearold aang who must forgo hi selfish wander to learn to master hi latent power over the four element onli then can he conquer the firebend the evil nation that threaten the world in a lost age the world is divid into four equal power water tribe earth kingdom fire nation and air nomad in each nation there a group of gift peopl known as bender who have the abil to manipul their nativ element use martial art and element magic for thousand of year the nation live togeth peac but then disast struck the young ruler of the fire nation fire lord sozin began a war of world conquest the onli one who could have prevent it wa the avatar the avatar is the human incarn of the spirit of light he alon can master bend all four element but just when he wa need most he disappear now year later a young waterbend name katara and her older brother sokka stumbl upon the long lost avatar aang who wa encas in an iceberg for year they must help aang master all four element befor summer when sozin grandson fire lord ozai will use a comet to deal one last deadli strike against the other nation and claim a fire nation victori but all that is easier said than done with the fire lord determin and hottemp son princ zuko hot on their trail,"2003, 2008",9.2,,186382.0,23,"Dee Bradley Baker, Zach Tyler, Jack De Sena, Mae Whitman"
8,8,the sopranos,crime drama,new jersey mob boss toni soprano deal with person and profession issu in hi home and busi life that affect hi mental state lead him to seek profession psychiatr counselingnew jersey mob boss toni soprano deal with person and profession issu in hi home and busi life that affect hi mental state lead him to seek profession psychiatr counsel an innov look at the life of fiction mafia capo toni soprano thi serial is present larg first person but addit perspect is convey by the intim convers toni ha with hi psychotherapist we see toni at work at home and in therapi moment of black comedi interspers thi aggress adult drama with adult languag and extrem violenc north jersey mob boss toni soprano selfdescrib wast manag consult reluctantli seek a psychiatrist help after black out lest he appear weak he must keep hi therapi a secret from the rest of the mob he stress hi teenag daughter is give hi wife fit hi meanspirit mother refus to move to a retir commun hi age uncl junior jealou of toni rise to the top wont stay in line and engin a plot to kill toni and the fed arm with rico are circl in therapi toni must come to term with hi father exampl hi mother manipul and hi own fear of death and loss of famili,"1999, 2007",9.2,,248231.0,55,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli"
9,9,last week tonight with john oliver,comedi news talkshow,former daili show host and correspond john oliv bring hi persona to thi new weekli news satir programform daili show host and correspond john oliv bring hi persona to thi new weekli news satir program with hi insight wit and fearless candor comedian john oliv formerli of the the daili show review the crazi current affair happen in america and around the world in do so he provid a wri perspect that punctur pompos and cut through all pretens with comic outrag audac in do so he can get to the heart of the matter of the world most seriou and absurd problem with plenti of laugh along the way,2014,9.0,,66095.0,30,"John Oliver, David Kaye, Ryan Barger, Noel MacNeal"
