,Unnamed: 0.1,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
0,0,voice ,thriller investig crime,OCN,thi drama is rd season of voic seriesit s follow the live of emerg call center and dispatch team as they fight against an intern evil cartel involv in the internet s dark webth legal drama center around jang hye sung a brazen sharptongu femal attorney who say everyth that come to her mind with no filter when she get to the point in her career where it hard to muster up ani enthusiasm for her work she team up with the seriou cha kwan woo a passion public defend and park soo ha a yearold highschool student with a special abil to hear peopl inner thought seldom she knew that she ha a past conncet with park soo ha togeth they also must face a killer with a person vendetta that entwin all of their live can they bring the danger man to justic,2013,8.2,,2199.0,,"Bo-young Lee, Jong-Suk Lee, Sang-Hyun Yoon, Da-hee Lee"
1,1,save me ,thriller action crime,OCN,thi drama is base on the korean manhwawebtoon out of the world by jo geum san which wa publish from june to jan via comicdaumcom it s the second season of save me season the stori begin when resid in a small town fall into a state of chao due to the presenc of a fals religi groupa young girl come to a small town with her famili and through tragic event get involv with a religi cult,2017,8.2,,218.0,,"Jae-yoon Jo, Sung-ha Jo, Hae-Kyun Jung, Da-wit Lee"
2,2,the secret life of my secretary,comedi busi romant,SBS,thi drama is about a coldheart boss of a mobil media compani find hi true ident and final start to respect peopl after lose hi sightdo min ik kim young kwang work as a director of the mobil media team at tt he is smart and excel at hi job hi secretari is jung gal hee jin ki joo do min ik often doe childish thing like call jung gal hee continu jung gal hee carri out do min ik s order without complaint she look soft but she hide her tough sideit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"So-yeon Jang, Han Ji-Sun, Ki-joo Jin, Ae-ri Jung"
3,3,abyss,law comedi romant fantasi,tvN,go se yun park bo young is a beauti prosecut lawyer and cha min ahn hyo supi an unattract successor of a cosmet compani who are both reviv with differ look through an abyss after they die in an accid they start work at the same law firm while look for the reason of their revivalabyss is about a man and a woman who tragic die and is given anoth chanc at life through soulreviv marbl in a magic abyss,2019,,,,,"Hyo-Seop Ahn, Se-ha Ahn, So-hee Han, Sa-rang Kim"
4,4,different dreams,medic histor action melodrama war,MBC,thi is a preproduc dramath stori take place in kyungsung south korea and shanghai china dure the japanes coloni rule of korea lee young jin lee yo won is a korean surgeon who wa rais by a japanes famili she becom a spi for the korean governmentit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"Sung-tae Heo, Bok-rae Jo, Sung-Il Jung, Hae-Young Lee"
5,5,mung bean flower,histor,SBS,thi drama tell the stori of two halfbroth from separ mother but share the same father who both fight on opposit side in the battl of ugeumchi that took place in dure the donghak peasant revolut,,,,,,
6,6,my first first love,children romant,Netflix,due to variou person reason a group of yun tae oh ji soo s friend move into hi hous where they experi love friendship and everyth in betweenth stori of colleg student and their realiz of first love as they meet new friend,2019,7.8,,29.0,,"Chae-Yeon Jung, Jinyoung Jung, Ji Soo"
7,7,her private life,comedi romant,tvN,thi drama is base on novel nuna paen datkom by kim sung yeon which wa publish on april by yeowoobisung duk mi park min young is a talent curat who is also a fan of an idol group member name shian meanwhil ryan gold kim jae wook becom the new director at the galleri she work at and slowli fall in love with hera romant comedi about a talent galleri curat name sung duk mi who is an idol fangirl underneath her profession veneer meanwhil her boss ryan becom a passion fanboy of her,2019,8.6,,29.0,,"Amy Aleha, Ahn Bo-Hyun, Seo-Young Hong, Jung Je-Won"
8,8,i hate going to work,comedi human busi,KBS2,a sliceoflif offic drama about peopl who don t want to go to work that will reson with everyday offic workersit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"Soo Yeon Han, Choon-Sung Ji, Dong-wan Kim, Gwan-Soo Kim"
9,9,special labor inspector jo,comedi action,MBC,it follow the stori of a civil servant who is appoint as a labor inspector in the ministri of employ and laborit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2019,,,,,"Dong-wook Kim, Hong-pa Kim, Kyung-Nam Kim, Na-Yoon Lee"
