,Unnamed: 0,Title,Genre,Network,Summary
0,0,My First First Love,"['Youth', 'Romance']",Netflix,due to various personal reasons a group of yun tae oh ji sooâ€™s friends move into his house where they experience love friendship and everything in between
1,1,Her Private Life,"['Romance', 'Comedy']",tvN,this drama is based on novel â€œëˆ„ë‚˜íœ¬ë‹·ì»´  nuna paen datkomâ€ by kim sung yeon which was published on 2007april10 by yeowoobisung duk mi park min young is a talented curator who is also a fan of an idol group member named shian meanwhile ryan gold kim jae wook becomes the new director at the gallery she works at and slowly falls in love with her
2,2,Special Labor Inspector Jo,"['Action', 'Comedy']",MBC,it follows the story of a civil servant who is appointed as a labor inspector in the ministry of employment and labor
3,3,Beautiful World,"['Melodrama', 'Family']",jTBC,this drama tells the story of a boy who becomes critically injured due to an incident of school violence and his family who seeks the truth and fights for justice in his namepark moo jin park hee soon and kang in ha choo ja hyun are a married couple park moo jin works as a high school teacher and kang in ha runs a bakery they enjoy their lives with their children their peaceful days soon turn into a hellish experience their son who is in the 3rd grade of middle school is seriously injured due to school violence park moo jin and kang in ha try to reveal the truthmeanwhile oh jin pyo oh man suk and seo eun joo jo yeo jung are a married couple they are both from wealthy families oh jinpyo is the chairman of a private school foundation inherited from his family they have never experienced failure or lacked anything they have a son who makes trouble the parents coverup for their sonâ€™s misbehavior
4,4,My Fellow Citizens,"['Crime', 'Comedy']",KBS2,this drama tells the story of a con man who gets involved with unexpected incidents marries a police officer and somehow ends up running to become a member of the national assembly
5,5,The Banker,['Drama'],MBC,this drama is based on the japanese manga â€œkansayaku nozaki shuheiâ€ which was written by â€œryouka shuuâ€ and illustrated by â€œshigeru nodaâ€ from 1998 to 2002itâ€™s tell the story of a bank auditor pursues justice and policy changes at a time when an economic bubble is collapsing no dae ho kim sang joong is an honest and sincere man he works as a branch manager of daehan bank which is located in a small city the branch is on a soon to be shutdown list surprisingly no dae ho is promoted to an auditor at the bankâ€™s headquarters in seoul no dae ho then faces corruption at the bank
6,6,Eulachacha Waikiki (Season 2),['Comedy'],jTBC,this drama depicts the friendships love and dreams of young people itâ€™s the second season of popular sitcom â€œeulachacha waikiki season 1â€lee joon ki lee yi kyung is an unpopular actor he runs the guest house waikiki but the guest house is facing bankruptcy to revive the guest house lee joon ki drags his friends cha woo sik kim sun ho and kook ki bong shin hyun soo who all graduated from the same high school to invest in the guest housecha woo sik is a picky person and he wants to become a singer due to lee joon ki he puts all his money into waikiki kook ki bong used to be a promising baseball player but he now plays in the minor leagues due to lee joon ki he also puts all his money into waikiki along with these 3 men han soo yeon moon ga young kim jung eun ahn so hee and cha yoo ri kim ye won all begin to live at waikiki
7,7,Mother of Mine,['Family'],KBS2,this drama is about a story of a mother and three daughters living in modern day korean society the drama conveys a message about the low fertility rate divorce rate and the problems of the younger generation who are avoiding marriagepark sun ja kim hae sook is an ordinary korean mother who owns a small rice house she has three daughters a drunk husband who resorts to alcohol has a toxic motherinlaw and endless difficulties with money but despite all the hardships she does everything possible for the future of her children so that they do not repeat her fate and sends everyone to study at the university
8,8,Confession,['Mystery'],tvN,this drama tell the story of choi do hyun lee joon ho who becomes a lawyer in order to clear his fatherâ€™s name after he has been wrongly accused of murder
9,9,Kill It,"['Thriller', 'Action']",OCN,this drama is about a veterinarian killer who saves animals and a detective who saves people
