,Unnamed: 0,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
0,0,My First First Love,"['Youth', 'Romance']",Netflix,"Due to various personal reasons, a group of Yun Tae Oh (<a href=""https://star.koreandrama.org/ji-soo/"" rel=""noopener noreferrer"" target=""_blank"">Ji Soo</a>)Ì¢‰âÂ‰ã¢s friends move into his house, where they experience love, friendship, and everything in between.",2019,7.9,,12,,"Chae-Yeon Jung, Jinyoung Jung, Ji Soo"
1,1,Her Private Life,"['Romance', 'Comedy']",tvN,"This drama is based on novel <em>Ì¢‰âÂÒÌÇè ‰Û_ÌÇ‰Û_èÏÌ_ÕåÂÌÇ‰Û_åáÌÂåÈå« / Nuna Paen DatkomÌ¢‰âÂå</em> by Kim Sung Yeon which was published on 2007-April-10 by Yeowoobi.</p><p>Sung Duk Mi (<a href=""https://star.koreandrama.org/park-min-young/"" rel=""noopener noreferrer"" target=""_blank"">Park Min Young</a>) is a talented curator who is also a fan of an idol group member named Shi-An. Meanwhile, Ryan Gold (<a href=""https://star.koreandrama.org/kim-jae-wook/"" rel=""noopener noreferrer"" target=""_blank"">Kim Jae Wook</a>) becomes the new director at the gallery she works at and slowly falls in love with her.",2019,8.5,,25,,"Amy Aleha, Ahn Bo-Hyun, Seo-Young Hong, Jung Je-Won"
2,2,Special Labor Inspector Jo,"['Action', 'Comedy']",MBC,It follows the story of a civil servant who is appointed as a labor inspector in the Ministry of Employment and Labor.,2019,,,,,"Dong-wook Kim, Hong-pa Kim, Kyung-Nam Kim, Na-Yoon Lee"
3,3,Beautiful World,"['Melodrama', 'Family']",jTBC,"This drama tells the story of a boy who becomes critically injured due to an incident of school violence and his family who seeks the truth and fights for justice in his name.</p><p>Park Moo Jin (<a href=""https://star.koreandrama.org/park-hee-soon/"" rel=""noopener noreferrer"" target=""_blank"">Park Hee Soon</a>) and Kang In Ha (<a href=""https://star.koreandrama.org/chu-ja-hyun/"" rel=""noopener noreferrer"" target=""_blank"">Choo Ja Hyun</a>) are a married couple. Park Moo Jin works as a high school teacher and Kang In Ha runs a bakery. They enjoy their lives with their children. Their peaceful days soon turn into a hellish experience. Their son, who is in the 3rd grade of middle school, is seriously injured due to school violence. Park Moo Jin and Kang In Ha try to reveal the truth.</p><p>Meanwhile, Oh Jin Pyo (<a href=""https://star.koreandrama.org/oh-man-suk/"" rel=""noopener noreferrer"" target=""_blank"">Oh Man Suk</a>) and Seo Eun Joo (<a href=""https://star.koreandrama.org/jo-yeo-jung/"" rel=""noopener noreferrer"" target=""_blank"">Jo Yeo Jung</a>) are a married couple. They are both from wealthy families. Oh Jin-Pyo is the chairman of a private school foundation inherited from his family. They have never experienced failure or lacked anything. They have a son who makes trouble. The parents coverup for their sonÌ¢‰âÂ‰ã¢s misbehavior.",2019,,,,,"Ja-Hyeon Chu, Tae-Gwang Hwang, Jung Jae-Sung, Yeo-jeong Jo"
4,4,My Fellow Citizens,"['Crime', 'Comedy']",KBS2,"This drama tells the story of a con man, who gets involved with unexpected incidents, marries a police officer and somehow ends up running to become a member of the National Assembly.",2019,,,,,"Si Won Choi, Suk-ho Jun, Hae-yeon Kil, Eui-sung Kim"
5,5,The Banker,['Drama'],MBC,"This drama is based on the Japanese manga <em>Ì¢‰âÂÒKansayaku Nozaki ShuheiÌ¢‰âÂå</em> which was written by Ì¢‰âÂÒRyouka ShuuÌ¢‰âÂå and illustrated by Ì¢‰âÂÒShigeru NodaÌ¢‰âÂå from 1998 to 2002.</p><p>ItÌ¢‰âÂ‰ã¢s tell the story of a bank auditor pursues justice and policy changes at a time when an economic bubble is collapsing. No Dae Ho (<a href=""https://star.koreandrama.org/kim-sang-joong/"" rel=""noopener noreferrer"" target=""_blank"">Kim Sang Joong</a>) is an honest and sincere man. He works as a branch manager of Daehan Bank which is located in a small city. The branch is on a soon to be shutdown list. Surprisingly, No Dae Ho is promoted to an auditor at the bankÌ¢‰âÂ‰ã¢s headquarters in Seoul. No Dae Ho then faces corruption at the bank.",2019,,,,,"Nae-sang Ahn, Woo-yeon Ahn, In-ha Cha, Shi-ra Chae"
6,6,Eulachacha Waikiki (Season 2),['Comedy'],jTBC,"This drama depicts the friendships, love and dreams of young people. ItÌ¢‰âÂ‰ã¢s the second season of popular sitcom <a href=""https://www.koreandrama.org/eulachacha-waikiki/"" rel=""noopener noreferrer"" target=""_blank""><em>Ì¢‰âÂÒEulachacha Waikiki (season 1)Ì¢‰âÂå</em></a>.</p><p>Lee Joon Ki (<a href=""https://star.koreandrama.org/lee-yi-kyung/"" rel=""noopener noreferrer"" target=""_blank"">Lee Yi Kyung</a>) is an unpopular actor. He runs the guest house Waikiki, but the guest house is facing bankruptcy. To revive the guest house, Lee Joon Ki drags his friends Cha Woo Sik (<a href=""https://star.koreandrama.org/kim-sun-ho/"" rel=""noopener noreferrer"" target=""_blank"">Kim Sun Ho</a>) and Kook Ki Bong (<a href=""https://star.koreandrama.org/shin-hyun-soo/"" rel=""noopener noreferrer"" target=""_blank"">Shin Hyun Soo</a>), who all graduated from the same high school, to invest in the guest house.</p><p>Cha Woo Sik is a picky person and he wants to become a singer. Due to Lee Joon Ki, he puts all his money into Waikiki. Kook Ki Bong used to be a promising baseball player, but he now plays in the minor leagues. Due to Lee Joon Ki, he also puts all his money into Waikiki. Along with these 3 men, Han Soo Yeon (<a href=""https://star.koreandrama.org/moon-ga-young/"" rel=""noopener noreferrer"" target=""_blank"">Moon Ga Young</a>), Kim Jung Eun (<a href=""https://star.koreandrama.org/ahn-so-hee/"" rel=""noopener noreferrer"" target=""_blank"">Ahn So Hee</a>) and Cha Yoo Ri (<a href=""https://star.koreandrama.org/kim-shin-ah/"" rel=""noopener noreferrer"" target=""_blank"">Kim Ye Won</a>) all begin to live at Waikiki.",2018,8.3,,477,,"Won-Hee Go, In-sun Jung, Jung-hyun Kim, Yi-Kyeong Lee"
7,7,Mother of Mine,['Family'],KBS2,"This drama is about a story of a mother and three daughters living in modern day Korean society. The drama conveys a message about the low fertility rate, divorce rate, and the problems of the younger generation who are avoiding marriage.</p><p>Park Sun Ja (<a href=""https://star.koreandrama.org/kim-hae-sook/"" rel=""noopener noreferrer"" target=""_blank"">Kim Hae Sook</a>) is an ordinary Korean mother who owns a small rice house, she has three daughters, a drunk husband, who resorts to alcohol, has a toxic mother-in-law and endless difficulties with money. But despite all the hardships, she does everything possible for the future of her children, so that they do not repeat her fate, and sends everyone to study at the university.",2019,,,,,"Myeong-Gil Choi, Jong-hyeon Hong, Tae-young Ki, Ha-Kyung Kim"
8,8,Confession,['Mystery'],tvN,"This drama tell the story of Choi Do Hyun (<a href=""https://star.koreandrama.org/lee-joon-ho/"" rel=""noopener noreferrer"" target=""_blank"">Lee Joon Ho</a>), who becomes a lawyer in order to clear his fatherÌ¢‰âÂ‰ã¢s name after he has been wrongly accused of murder.",2012,7.1,,6917,119 min,"Byung-gil Jung, Jae-yeong Jeong, Shi-hoo Park, Hae-Kyun Jung, Yeong-ae Kim"
9,9,Kill It,"['Thriller', 'Action']",OCN,"This drama is about a veterinarian killer who saves animals, and a detective who saves people.",2019,8.4,,27,,"David Lee McInnis, Jin-Ah Im, No Jeong-ee, Il-Joo Ji"
10,10,Doctor Prisoner,['Medical'],KBS2,This drama tell the story of a skilled doctor who is forced to quit the hospital after being accused of medical malpractice. He starts working in a prison with the goal of acquiring enough connections to take his revenge.,,,,,,
11,11,He Is Psychometric,"['Fantasy', 'Mystery', 'Romance', 'Comedy']",tvN,"Lee Ahn (<a href=""https://star.koreandrama.org/jin-young-1994/"" rel=""noopener noreferrer"" target=""_blank"">Park Jin Young</a>) has the ability to read oneÌ¢‰âÂ‰ã¢s secrets when he touches someone and he decides to use it to take bad people down. While he doesnÌ¢‰âÂ‰ã¢t know how to control his power yet, he meets Yoon Jae In (<a href=""https://star.koreandrama.org/shin-ye-eun/"" rel=""noopener noreferrer"" target=""_blank"">Shin Ye Eun</a>), a woman who tries her best to hide her secrets. They will team up to solve cases.",2019,8.3,,39,,"Hyo-Seob Eom, Eui-soo Jang, Mi-seon Jeon, Byeong-gyu Jo"
12,12,Big Issue,"['Fantasy', 'Suspense', 'Romance']",SBS,"This drama is about the story of a paparazzo who chases after celebrity scandals.</p><p>Due to a controversial photo, Han Suk Joo (<a href=""https://star.koreandrama.org/joo-jin-mo/"" rel=""noopener noreferrer"" target=""_blank"">Joo Jin Mo</a>) loses everything, including his prestigious job as a photographer for a top newspaper and his family. Meanwhile, Ji Soo Hyun (<a href=""https://star.koreandrama.org/han-ye-seul/"" rel=""noopener noreferrer"" target=""_blank"">Han Ye Seul</a>), the notorious chief editor of a paparazzi group, tries to recruit Han Suk Joo to become a paparazzi photographer at her company.",2019,,,,,"Song-hyeon Choi, Kim Gyu-Sun, Ye-seul Han, Jin-mo Ju"
